## athome 検索結果 - 大阪
## 条件: 5000万以下, 40-70㎡
## 取得日: 2026-07-07
## 件数: 12件

athome|シャトー大淀 5階 １ＤＫ|1399万円|大阪市北区大淀中１丁目|52.43m²|1978年6月|ＪＲ東海道本線 「大阪」駅 徒歩13分|１ＤＫ||||https://www.athome.co.jp/mansion/1131713708/
athome|野田パークマンション 9階 ２ＤＫ|1780万円|大阪市福島区大開３丁目|46.50m²|1974年7月|ＪＲ大阪環状線 「野田」駅 徒歩9分|２ＤＫ||||https://www.athome.co.jp/mansion/1117155506/
athome|ドルミ野田 9階 ２Ｋ|1880万円|大阪市福島区海老江３丁目|47.54m²|1978年7月|阪神本線 「野田」駅 徒歩14分|２Ｋ||||https://www.athome.co.jp/mansion/1117452906/
athome|ドミール堂島 5階 ２ＤＫ|1990万円|大阪市福島区福島２丁目|58.10m²|1974年1月|ＪＲ大阪環状線 「福島」駅 徒歩6分|２ＤＫ||||https://www.athome.co.jp/mansion/1018501387/
athome|グリーンシティＯＳＡＫＡ　１号棟 6階 １ＬＤＫ|2480万円|大阪市福島区海老江１丁目|40.00m²|1986年8月|阪神本線 「野田」駅 徒歩10分|１ＬＤＫ||||https://www.athome.co.jp/mansion/1018697291/
athome|福島グランドヴィラ 1階 ２ＳＬＤＫ|2490万円|大阪市福島区大開３丁目|52.38m²|1984年3月|阪神本線 「淀川」駅 徒歩7分|２ＳＬＤＫ||||https://www.athome.co.jp/mansion/1101100614/
athome|福島グランドヴィラ 1階 ２ＳＤＫ|2490万円|大阪市福島区大開３丁目|52.38m²|1984年3月|阪神本線 「淀川」駅 徒歩6分|２ＳＤＫ||||https://www.athome.co.jp/mansion/1017866887/
athome|福島グランドヴィラ 1階 ２ＳＤＫ|2490万円|大阪市福島区大開３丁目|52.38m²|1984年3月|阪神本線 「淀川」駅 徒歩6分|２ＳＤＫ||||https://www.athome.co.jp/mansion/6989217281/
athome|福島グランドヴィラ 1階 ２ＳＤＫ|2490万円|大阪市福島区大開３丁目|52.38m²|1984年3月|阪神本線 「淀川」駅 徒歩6分|２ＳＤＫ||||https://www.athome.co.jp/mansion/1189730019/
athome|福島グランドヴィラ 1階 ２ＳＤＫ|2490万円|大阪市福島区大開３丁目|52.38m²|1984年3月|阪神本線 「淀川」駅 徒歩6分|２ＳＤＫ||||https://www.athome.co.jp/mansion/1016960391/
athome|福島グランドヴィラ 1階 ２ＳＤＫ|2490万円|大阪市福島区大開３丁目|52.38m²|1984年3月|阪神本線 「淀川」駅 徒歩5分|２ＳＤＫ||||https://www.athome.co.jp/mansion/1140972816/
athome|福島グランドヴィラ 1階 ２ＳＤＫ|2490万円|大阪市福島区大開３丁目|52.38m²|1984年3月|阪神本線 「淀川」駅 徒歩4分|２ＳＤＫ||||https://www.athome.co.jp/mansion/1166447107/
